year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
65000,27617,34323,40847,35915,38604,36313,34331,31611,28927,28387,26181,24228,21557
63000,18530,25132,29498,26710,29024,28987,27992,25042,22849,21468,19029,16695,14528
68000,15838,18041,19866,16757,17360,22384,23786,23356,22583,22841,21444,20210,18205
66000,19537,24027,28324,24555,26194,26313,25655,24338,22646,21602,19613,18304,17880
67000,11612,14208,17752,14788,15426,15769,14698,13773,12379,11841,10783,9634,8914
64000,18684,21411,24963,21626,22520,22469,21757,20260,20107,19447,18929,18052,16133
10002,3448,3544,3930,3495,3527,3437,3525,3328,3055,3096,2854,2820,2378
10004,5031,5481,6204,5433,5755,5584,5556,4953,4449,4452,4308,4220,4101
10005,4198,5084,6207,5493,6019,5756,4756,3844,3346,3077,2795,2652,2293
10007,10583,11833,13658,11591,12033,13314,13807,13070,12527,12408,12096,11388,10106
10008,3420,3477,4056,3481,3559,3576,3630,3336,3232,3174,3142,2839,2431
10009,5057,5442,6167,5126,5338,4986,4774,4533,4100,4251,4009,3830,3340
10010,3485,3577,3889,3130,2965,3054,2923,2803,2559,2966,2922,2665,2272
10013,5261,5354,6285,5049,5373,5266,5129,4824,4599,4764,4441,4158,3749
10014,1722,1746,1858,1657,1739,1605,1555,1484,1479,1494,1364,1316,1405
10015,2341,2603,2782,2657,2639,2693,2682,2372,2411,2430,2175,2116,2033
10016,662,810,978,867,943,892,1004,1038,881,988,996,907,841
10017,2191,1975,2399,2165,2062,2439,2548,2248,2180,2084,2007,1820,1607
10018,4743,5369,6161,5167,5503,4976,4597,4287,4019,3918,3583,3451,3052
10020,1774,1904,2072,1980,2132,2224,2211,1924,1886,1722,1426,1373,1202
09020,1053,1154,1431,1318,1495,1396,1360,1281,1254,1211,1035,1029,855
09007,99,132,154,153,173,165,164,139,133,146,117,113,104
