年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
新北市,27617,34323,40847,35915,38604,36313,34331,31611,28927,28387,26181,24228,21557,18463
臺北市,18530,25132,29498,26710,29024,28987,27992,25042,22849,21468,19029,16695,14528,16027
桃園市,15838,18041,19866,16757,17360,22384,23786,23356,22583,22841,21444,20210,18205,17910
臺中市,19537,24027,28324,24555,26194,26313,25655,24338,22646,21602,19613,18304,17880,17035
臺南市,11612,14208,17752,14788,15426,15769,14698,13773,12379,11841,10783,9634,8914,9351
高雄市,18684,21411,24963,21626,22520,22469,21757,20260,20107,19447,18929,18052,16133,15805
宜蘭縣,3448,3544,3930,3495,3527,3437,3525,3328,3055,3096,2854,2820,2378,2405
新竹縣,5031,5481,6204,5433,5755,5584,5556,4953,4449,4452,4308,4220,4101,3978
苗栗縣,4198,5084,6207,5493,6019,5756,4756,3844,3346,3077,2795,2652,2293,2296
彰化縣,10583,11833,13658,11591,12033,13314,13807,13070,12527,12408,12096,11388,10106,9808
南投縣,3420,3477,4056,3481,3559,3576,3630,3336,3232,3174,3142,2839,2431,2417
雲林縣,5057,5442,6167,5126,5338,4986,4774,4533,4100,4251,4009,3830,3340,3206
嘉義縣,3485,3577,3889,3130,2965,3054,2923,2803,2559,2966,2922,2665,2272,2360
屏東縣,5261,5354,6285,5049,5373,5266,5129,4824,4599,4764,4441,4158,3749,4260
臺東縣,1722,1746,1858,1657,1739,1605,1555,1484,1479,1494,1364,1316,1405,1468
花蓮縣,2341,2603,2782,2657,2639,2693,2682,2372,2411,2430,2175,2116,2033,1861
澎湖縣,662,810,978,867,943,892,1004,1038,881,988,996,907,841,767
基隆市,2191,1975,2399,2165,2062,2439,2548,2248,2180,2084,2007,1820,1607,1352
新竹市,4743,5369,6161,5167,5503,4976,4597,4287,4019,3918,3583,3451,3052,2767
嘉義市,1774,1904,2072,1980,2132,2224,2211,1924,1886,1722,1426,1373,1202,1211
金門縣,1053,1154,1431,1318,1495,1396,1360,1281,1254,1211,1035,1029,855,721
連江縣,99,132,154,153,173,165,164,139,133,146,117,113,104,103
