年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
新北市,6.12,4.90,5.84,3.97,3.01,0.96,2.16,1.88,2.26,5.75,3.05,-5.67,-3.13,11.40
臺北市,4.35,12.29,8.40,4.97,5.88,0.92,-3.37,-4.62,-5.47,-8.82,-16.11,-29.98,-17.32,12.58
桃園市,11.76,5.62,8.37,6.83,7.00,23.05,19.94,18.74,15.02,12.68,8.79,1.58,3.99,15.77
臺中市,4.80,6.03,7.69,6.25,6.73,9.05,8.31,7.17,6.04,4.05,1.96,-2.59,0.34,11.17
臺南市,-0.86,1.69,2.50,0.83,0.57,0.67,0.26,0.26,-1.43,-1.55,-3.18,-6.86,-4.87,3.75
高雄市,0.94,0.36,1.51,0.44,-0.32,-0.03,0.16,-0.88,-1.22,-0.12,-2.62,-7.68,-6.03,3.59
宜蘭縣,-2.47,-3.09,-1.02,-0.30,0.70,-1.44,-1.26,-2.03,-3.04,-2.29,-2.40,-5.29,-3.62,1.84
新竹縣,4.18,9.02,12.27,12.39,13.47,8.21,10.03,8.56,8.77,12.43,12.13,8.42,8.55,15.14
苗栗縣,-1.38,1.86,3.50,2.80,2.79,-5.68,-8.38,-9.62,-8.93,-6.20,-5.26,-8.13,-5.66,-1.04
彰化縣,-3.95,-3.25,-2.43,-2.97,-3.50,-1.86,-1.49,-3.64,-3.61,-3.93,-4.82,-8.95,-8.04,-4.97
南投縣,-8.16,-7.00,-4.99,-5.72,-5.62,-9.38,-8.49,-8.14,-8.02,-5.87,-6.64,-12.09,-10.93,-5.21
雲林縣,-7.11,-5.71,-3.59,-4.50,-3.44,-8.11,-6.80,-6.48,-6.30,-6.87,-6.51,-9.96,-9.01,-6.96
嘉義縣,-8.16,-9.77,-7.84,-8.42,-8.40,-9.42,-8.69,-8.03,-8.05,-7.80,-7.22,-12.34,-10.46,-7.37
屏東縣,-10.35,-10.28,-7.04,-7.17,-5.13,-7.86,-6.49,-7.00,-5.46,-7.54,-7.97,-10.11,-7.13,-4.64
臺東縣,-7.85,-10.33,-8.93,-6.32,-1.56,-8.99,-7.42,-5.72,-2.83,-9.77,-7.01,-8.71,-3.91,-4.74
花蓮縣,-6.33,-5.81,-4.89,-3.86,-1.51,-4.34,-3.11,-5.06,-3.85,-5.25,-5.75,-9.29,-7.67,-4.40
澎湖縣,7.36,2.47,17.35,15.75,13.53,5.37,9.37,7.84,3.53,7.34,7.08,3.66,8.30,4.81
基隆市,-10.78,-10.95,-7.30,-5.94,-4.90,-2.61,-0.01,-1.73,-3.51,-3.41,-3.57,-9.79,-6.73,2.02
新竹市,9.13,11.34,11.95,8.03,8.18,4.80,7.55,8.68,10.21,7.11,5.81,2.72,-0.37,8.84
嘉義市,-5.37,-3.17,-1.13,-1.28,0.04,-1.91,-1.82,-1.76,-2.88,-3.47,-6.29,-4.80,-6.81,2.51
金門縣,37.96,66.95,88.83,67.21,58.07,39.74,17.43,17.33,13.22,6.55,2.94,6.70,-1.72,20.20
連江縣,2.52,16.29,119.14,75.60,28.03,3.28,3.83,22.63,13.66,2.53,14.52,27.56,24.77,4.00
