年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
新北市,226660,203459,198847,189389,180758,164552,161943,160711,170721,177246,173605,166656,195929,210461
臺北市,177268,175907,165994,152687,151181,133729,127081,122673,128286,125536,117562,108058,153880,164913
桃園市,134191,99132,102780,104227,103332,117542,108929,107644,107880,105690,105073,101473,119595,122067
臺中市,143182,138008,138734,136290,136693,133007,128155,125331,129049,124952,123707,121383,140357,147731
臺南市,81416,84641,80439,79443,76074,70109,68842,69996,72116,70844,68800,67905,76076,78460
高雄市,141383,140697,138552,132384,127173,120208,117099,115076,113497,115950,113084,111722,124348,126931
宜蘭縣,21575,20044,22137,21460,23031,19754,18620,18281,18471,17949,17550,18879,21562,21822
新竹縣,26209,24893,25339,26026,26596,23840,23668,22843,25105,25701,25863,25937,26958,28273
苗栗縣,20942,19263,18501,18773,19755,16228,15332,15248,16443,16293,16129,16134,19439,19739
彰化縣,40521,37927,36526,35247,35693,34874,33100,31318,33994,32551,31523,30309,36074,35425
南投縣,17749,16769,17222,16343,16609,14813,13769,13676,14565,14466,13475,12793,15029,15215
雲林縣,26057,22774,23197,22254,24319,20602,19275,19230,20922,19449,18635,18001,21004,20067
嘉義縣,20803,17922,18391,16929,17817,15821,15012,14460,15009,14126,13760,12626,15403,15127
屏東縣,32144,28587,28918,27926,30774,26657,26676,25465,28228,26208,25185,24995,31312,28386
臺東縣,9675,8618,8310,8475,9856,8071,7484,7739,8704,7153,7179,7293,8463,7549
花蓮縣,19104,17412,17107,17500,19289,16639,15294,14586,16478,14543,14281,14022,14952,14299
澎湖縣,5308,4826,6010,5748,5957,5410,5516,5289,5189,5514,5190,5248,6017,5957
基隆市,21437,19208,19000,19039,19376,17672,17275,16939,17355,17010,16449,16141,18540,19073
新竹市,25008,24069,23472,23130,22846,20937,21110,20915,22246,21427,20957,21622,21584,22755
嘉義市,14539,12914,13458,12801,13295,11638,10844,10852,10968,10804,10171,10458,11289,11497
金門縣,7867,10547,13284,12210,12138,10952,8567,8626,8435,7614,6940,7581,7468,9565
連江縣,861,832,1788,1421,1221,1053,945,1151,1153,1017,1133,1467,1433,1236
