year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
65000,212159,198924,196560,188934,185538,174864,164454,161316,166691,157582,163028,186661,199515
63000,169056,152855,156655,149728,147229,143115,146197,142695,147918,152509,162002,184155,191337
68000,116568,95050,94813,96150,94533,80874,78095,78126,84770,87168,93567,103941,112936
66000,135721,131145,131542,128939,128745,118640,114095,112934,117781,117470,120288,128538,136518
67000,81434,81742,79635,78647,76034,70290,67814,68284,71991,70140,70245,74478,76144
64000,139470,142276,140381,133515,130296,122243,117038,116427,115487,113911,117567,128089,131573
10002,22794,21523,23057,21563,22462,20118,18937,18533,19009,18097,17609,19955,20941
10004,25724,22290,21801,21451,21568,21493,19988,19467,20986,19451,19532,21392,21554
10005,21614,18780,18210,18018,19362,20457,19722,19503,19738,17709,16783,17842,18794
10007,47351,44658,43985,41395,42501,40551,38449,38615,40644,39405,39359,42188,43704
10008,21248,19352,19347,18181,18329,18429,16775,16234,16979,15641,15160,16460,16925
10009,29977,25835,25249,23754,24978,24445,21577,20939,22109,21199,19993,21236,21805
10010,23786,21760,21412,19426,19637,18396,16720,15860,16145,15479,14888,15684,16349
10013,39126,35048,33564,31526,32417,30473,28722,27529,29115,28801,27756,28794,31140
10014,10945,10418,9781,9206,9445,9273,8107,8106,8499,8364,7757,8078,8034
10015,20505,18845,18370,18226,19111,17503,15597,15342,16642,15414,15159,15923,15720
10016,4414,4487,4474,4272,4631,4837,4587,4670,4794,4791,4484,4776,4906
10017,25150,22665,21492,20613,20408,18254,16888,16915,17807,17208,16757,18316,18800
10018,23814,22391,22247,22352,22303,21272,19715,18746,19120,19388,19328,21105,21740
10020,16041,13943,14136,13278,13496,12355,11482,11261,11528,11409,11184,11036,11920
09020,4878,4632,4916,5382,5988,6522,6864,6797,7127,7117,6794,6921,7667
09007,887,753,699,656,990,1123,1006,941,1046,1072,989,1145,1120
