年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
新北市,2.37,3.72,5.24,3.84,4.21,3.56,2.79,2.03,1.25,0.83,0.42,-0.71,-2.24,-2.86
臺北市,1.20,3.47,4.85,3.86,4.40,4.39,3.71,2.82,1.85,1.30,0.69,-0.75,-2.50,-1.73
桃園市,2.84,3.57,4.40,2.84,2.68,5.18,5.24,4.95,4.42,4.31,3.66,2.67,1.06,0.79
臺中市,1.97,3.43,4.98,3.50,3.77,3.75,3.17,2.68,1.99,1.38,0.75,-0.05,-1.02,-1.32
臺南市,-0.85,0.14,2.07,0.41,0.55,0.76,-0.28,-0.65,-1.49,-1.93,-2.42,-3.36,-4.84,-4.62
高雄市,0.25,0.93,2.17,0.85,0.81,0.71,0.14,-0.40,-0.50,-0.86,-1.00,-1.77,-3.41,-3.58
宜蘭縣,0.17,0.12,0.99,-0.08,-0.54,-0.65,-0.57,-1.49,-1.86,-1.97,-2.27,-2.92,-5.00,-4.75
新竹縣,3.22,3.93,5.40,3.64,3.96,3.83,3.23,2.39,1.30,1.20,0.90,0.45,-0.83,-0.90
苗栗縣,-0.19,1.00,2.98,1.46,2.09,1.78,-0.59,-2.03,-2.99,-3.63,-4.07,-5.00,-6.88,-6.95
彰化縣,1.26,1.90,3.29,1.77,1.75,2.54,2.66,2.03,1.57,1.44,1.34,0.43,-1.97,-2.06
南投縣,-1.58,-2.10,-0.93,-2.19,-2.30,-2.36,-2.60,-3.09,-3.22,-3.52,-3.24,-4.65,-7.06,-6.52
雲林縣,-1.70,-1.45,-0.72,-2.40,-2.51,-2.68,-3.53,-4.03,-4.60,-4.34,-4.53,-5.21,-7.85,-7.50
嘉義縣,-2.72,-2.72,-2.24,-3.76,-4.98,-4.54,-5.43,-5.33,-5.85,-5.15,-5.00,-6.26,-8.58,-8.11
屏東縣,-2.45,-2.90,-1.67,-2.99,-3.21,-3.37,-4.07,-4.55,-4.41,-4.41,-4.85,-5.47,-7.37,-6.62
臺東縣,-2.39,-2.54,-2.49,-3.10,-3.39,-3.65,-4.63,-4.07,-3.77,-4.26,-4.36,-5.09,-5.94,-5.56
花蓮縣,-2.23,-1.58,-1.15,-1.69,-2.05,-1.75,-2.21,-2.78,-3.36,-2.60,-3.06,-3.45,-5.30,-5.80
澎湖縣,-1.93,-1.03,1.53,0.81,0.32,-0.26,0.29,1.84,-0.27,0.42,0.37,-0.79,-2.14,-3.42
基隆市,-1.23,-1.96,-0.74,-1.77,-2.15,-1.05,-1.05,-1.79,-2.29,-2.88,-2.74,-3.90,-6.04,-6.47
新竹市,6.20,7.25,8.98,6.17,6.88,5.56,4.32,3.70,3.11,2.52,2.18,1.57,-0.02,-0.71
嘉義市,0.11,0.61,1.37,0.48,0.78,0.74,0.54,-0.25,-0.80,-1.22,-2.52,-2.64,-4.44,-4.41
金門縣,5.98,6.00,7.93,6.62,6.92,4.96,4.57,3.76,3.68,2.97,1.89,2.00,-0.32,-1.79
連江縣,5.14,8.28,10.74,7.67,8.92,8.86,8.67,5.89,5.32,6.73,3.49,3.27,1.81,2.14
