年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
新北市,3.73,1.16,0.58,0.12,-1.21,-2.60,-0.63,-0.15,1.01,4.91,2.63,-4.98,-0.90,14.20
臺北市,3.14,8.75,3.51,1.10,1.47,-3.47,-7.08,-7.44,-7.34,-10.15,-16.94,-29.69,-14.97,14.24
桃園市,8.85,2.03,3.94,3.96,4.29,17.61,14.50,13.62,10.48,8.29,5.09,-1.09,2.92,14.86
臺中市,2.82,2.58,2.69,2.73,2.93,5.26,5.10,4.46,4.03,2.66,1.21,-2.54,1.36,12.44
臺南市,-0.01,1.55,0.43,0.42,0.02,-0.10,0.55,0.91,0.07,0.37,-0.77,-3.52,-0.04,8.36
高雄市,0.69,-0.57,-0.66,-0.41,-1.12,-0.73,0.02,-0.49,-0.72,0.74,-1.62,-5.94,-2.64,7.16
宜蘭縣,-2.64,-3.22,-2.01,-0.22,1.24,-0.79,-0.69,-0.55,-1.18,-0.33,-0.13,-2.38,1.38,6.59
新竹縣,0.95,5.05,6.79,8.68,9.41,4.35,6.76,6.14,7.43,11.15,11.16,7.93,9.35,15.92
苗栗縣,-1.20,0.86,0.52,1.34,0.69,-7.48,-7.82,-7.65,-5.98,-2.59,-1.20,-3.16,1.20,5.91
彰化縣,-5.21,-5.16,-5.73,-4.74,-5.26,-4.40,-4.15,-5.68,-5.19,-5.37,-6.17,-9.42,-6.10,-2.93
南投縣,-6.62,-4.92,-4.07,-3.54,-3.33,-7.06,-5.93,-5.08,-4.84,-2.37,-3.42,-7.52,-3.93,1.29
雲林縣,-5.44,-4.28,-2.88,-2.11,-0.93,-5.47,-3.30,-2.47,-1.72,-2.56,-2.00,-4.80,-1.20,0.52
嘉義縣,-5.47,-7.10,-5.64,-4.70,-3.45,-4.93,-3.30,-2.73,-2.23,-2.68,-2.25,-6.16,-1.93,0.71
屏東縣,-7.95,-7.43,-5.39,-4.21,-1.93,-4.52,-2.44,-2.48,-1.07,-3.15,-3.15,-4.70,0.21,1.97
臺東縣,-5.48,-7.84,-6.47,-3.24,1.83,-5.38,-2.81,-1.67,0.94,-5.56,-2.68,-3.66,2.01,0.81
花蓮縣,-4.12,-4.24,-3.76,-2.17,0.53,-2.60,-0.91,-2.29,-0.50,-2.66,-2.70,-5.89,-2.40,1.40
澎湖縣,9.26,3.49,15.67,14.82,13.12,5.62,9.04,5.97,3.79,6.90,6.69,4.45,10.40,8.22
基隆市,-9.61,-9.05,-6.58,-4.19,-2.76,-1.56,1.04,0.06,-1.22,-0.54,-0.84,-5.95,-0.72,8.49
新竹市,2.89,4.02,2.90,1.82,1.26,-0.77,3.20,4.94,7.05,4.56,3.62,1.14,-0.34,9.52
嘉義市,-5.50,-3.78,-2.50,-1.76,-0.74,-2.65,-2.36,-1.52,-2.08,-2.26,-3.80,-2.18,-2.39,6.92
金門縣,31.27,58.78,77.13,58.40,49.51,34.01,12.71,13.42,9.45,3.56,1.04,4.68,-1.41,21.78
連江縣,-2.62,7.88,101.70,65.18,18.73,-5.59,-4.85,16.49,8.25,-4.21,10.92,23.92,22.66,1.86
